loanNumber,purpose,strata,clientId,dateOfBirth,cycle,province,district,submissionDate,approvalDate,disbursementDate,appliedAmount,approvedAmount,disbursedAmount,loanType,termsDuration,actualPaymentAmount,principalPaid,interestPaid,insuranceFeePaid,totalLateFeesPaid,excessAmountPaid,interestWaived,currentBalance,principalBalance,interestBalance,feesBalance,amountPastDue,principalPastDue,interestPastDue,feesPastDue,scheduledPrincipalAmount,scheduledInterestAmount,scheduledFeesAmount,scheduledPaymentAmount,lastPaymentAmount,lastPrincipalAmount,lastInterestAmount,lastFeesAmount,lastLateFeesAmount,lastExcessAmount,daysInArrears,installmentInArrears,lastPaymentDate,loanStatus,industrySectorOfActivity,businessSubSector,countrySpecific,country_code
LN-RW-2021-662506,Working capital,host,RW-RW-2023-S2-U02798,1972-05-19,6,Kigali City,Huye,2021-08-10,2021-09-06,2021-09-17,199.73,153.29,141.36,Seasonal Loan,24,104.2,90.42,9.07,0.37,0.0,4.35,0.0,58.1,50.94,9.73,1.58,0.0,0.0,0.0,0.0,10.0,1.0,0.07,11.07,9.76,7.34,1.0,0.2,0.0,1.23,0,0,2021-10-29,active,Retail & Trade,Grocery,Rwanda,RW
LN-ET-2026-513107,Emergency,refugee,ET-ET-2022-S2-U02282,1992-07-11,3,Tigray,Bole,2026-03-22,2026-03-30,2026-04-08,624.6,621.21,621.18,Asset Finance,12,364.49,247.75,67.07,2.53,8.13,39.01,0.0,450.31,373.43,100.42,12.36,67.55,37.34,10.04,1.24,51.76,13.96,1.71,67.43,89.97,64.21,13.91,2.41,0.57,8.88,3,3,2026-05-24,active,Personal Services,Cleaning,Ethiopia,ET
LN-KE-2026-493900,Working capital,host,KE-KE-2021-S3-U02632,1985-07-06,2,Nairobi,Kisumu,2026-08-20,2026-09-16,2026-09-28,633.71,506.91,489.09,Working Capital,18,391.76,326.15,42.69,5.04,0.0,17.89,0.0,200.05,162.94,42.81,9.62,0.0,0.0,0.0,0.0,27.17,4.75,0.53,32.46,25.09,16.47,6.56,1.01,0.0,1.05,0,0,2027-01-16,active,Personal Services,Laundry,Kenya,KE
LN-RW-2020-930354,Stock purchase,refugee,RW-RW-2018-S1-U04200,1996-09-07,2,Eastern,Musanze,2020-08-12,2020-08-15,2020-08-24,580.85,458.6,427.59,Emergency Loan,12,293.0,244.22,35.11,0.09,0.0,13.58,0.0,229.7,183.38,44.19,15.64,0.0,0.0,0.0,0.0,35.63,6.61,1.3,43.54,41.79,30.83,11.79,2.18,0.0,0.0,0,0,2020-09-13,active,Retail & Trade,Clothing,Rwanda,RW
LN-RW-2023-395545,Emergency,host,RW-RW-2020-S3-U04561,1999-07-28,1,Southern,Gasabo,2023-07-19,2023-07-24,2023-07-29,143.72,131.57,129.92,Seasonal Loan,18,159.22,114.4,20.41,0.58,0.0,23.82,0.0,0.0,15.51,4.66,3.13,0.0,0.0,0.0,0.0,10.0,1.39,0.17,11.57,9.76,7.15,2.01,0.13,0.0,0.46,0,0,2024-01-13,closed,Retail & Trade,Grocery,Rwanda,RW
LN-KE-2024-233638,Expansion,refugee,KE-KE-2022-S1-U01855,1995-11-16,5,Central,Nakuru,2024-03-02,2024-03-20,2024-03-24,138.23,122.95,120.73,Asset Finance,24,96.87,79.64,13.42,0.26,0.0,3.55,0.0,49.1,41.1,8.08,3.33,0.0,0.0,0.0,0.0,10.0,1.0,0.14,11.14,10.37,7.52,2.84,0.05,0.0,0.0,0,0,2024-07-22,active,Professional Services,Consulting,Kenya,KE
LN-KE-2019-550468,Emergency,refugee,KE-KE-2022-S3-U00368,1998-04-14,1,Coast,Kajiado,2019-06-18,2019-07-02,2019-07-04,110.68,100.0,94.29,Emergency Loan,6,64.28,52.26,7.09,0.59,2.26,2.08,0.0,48.89,42.03,7.4,1.09,7.33,4.2,0.74,0.11,15.72,2.41,0.56,18.69,20.49,15.38,3.83,0.83,0.09,0.34,1,2,2019-10-12,active,Professional Services,Hair Salon,Kenya,KE
LN-KE-2021-587856,Stock purchase,host,KE-KE-2021-S3-U02367,1985-07-18,4,Nairobi,Mombasa,2021-05-07,2021-05-19,2021-05-24,321.02,244.79,234.07,Emergency Loan,12,143.81,113.7,23.61,0.81,0.0,5.7,0.0,150.32,120.38,26.02,8.77,0.0,0.0,0.0,0.0,19.51,4.14,0.73,24.37,13.59,8.54,4.0,0.53,0.0,0.51,0,0,2021-07-31,active,Agriculture,Dairy,Kenya,KE
LN-RW-2019-510838,Stock purchase,host,RW-RW-2022-S3-U02736,1983-11-10,1,Southern,Huye,2019-02-17,2019-03-10,2019-03-24,439.51,363.89,335.78,Inventory Loan,24,228.72,202.86,21.73,0.81,0.0,3.33,0.0,153.78,132.92,11.65,12.0,0.0,0.0,0.0,0.0,13.99,1.39,0.5,15.88,16.51,13.12,1.84,0.87,0.0,0.68,0,0,2019-11-11,active,Retail & Trade,Grocery,Rwanda,RW
LN-SS-2025-887311,Stock purchase,refugee,SS-SS-2021-S2-U00374,1991-11-27,3,Eastern Equatoria,Torit,2025-06-16,2025-07-01,2025-07-04,594.32,490.09,444.75,Seasonal Loan,6,51.84,36.28,9.22,0.35,9.32,0.0,0.0,507.63,408.47,87.89,4.54,76.14,40.85,8.79,0.45,74.12,16.19,2.31,92.62,88.72,57.12,17.26,5.37,4.26,4.71,51,4,2025-10-22,defaulted,Hospitality and Tourism,Coffee Shop,South Sudan,SS
