unique_id,survey_id,survey_date,age,gender,strata,client_location,nationality,education_level,business_sector,business_sub_sector,only_income_earner,number_of_people_reponsible,business_location,is_business_registered,has_access_to_finance_in_past_6months,have_bank_account,monthly_customer,kept_sales_record,bz_have_new_practices,practice_type,bz_have_new_product,new_product_type,job_created,revenue,hh_expense,nps_detractor,nps_passive,nps_promoter,satisfied_yes,satisfied_no,survey_name,has_started_business,why_not_started_business,bz_source_capital,did_you_buy_assets_in_the_past_6months,business_challenges,did_you_attended_all_training,does_training_increased_bz_skills,plan_after_program,risk_tier_1m,risk_tier_2m,risk_tier_3m,risk_score_1m,risk_score_2m,risk_score_3m,jobs_created_1m,jobs_created_2m,jobs_created_3m,jobs_lost_1m,jobs_lost_2m,jobs_lost_3m,revenue_1m,revenue_2m,revenue_3m,countrySpecific,country_code
U02254,ET-2018-S3,2018-05-06,37,Male,refugee,Jijiga,Ethiopian,TVET,Agriculture,Dairy,Yes,4,Mekelle,Yes,No,Yes,58.0,No,Yes,Supplier diversification,Yes,Vegetables,0,298.02,105.71,0,0,1,1,0,Endline Survey,True,,,,,,,,HIGH,MEDIUM,MEDIUM,0.718801,0.661621,0.647563,1,1,1,0,0,0,283.8,266.26,260.08,Ethiopia,ET
U03764,ET-2018-S3,2018-10-02,23,Male,refugee,Mekelle,Somali,Primary,Manufacturing,Soap,No,3,,,,,,,,,,,1,573.36,,0,0,1,1,0,Baseline Survey,False,Lack of capital,Family support,False,Security constraints,True,True,Seek employment,MEDIUM,HIGH,HIGH,0.697545,0.714677,0.721953,0,0,0,0,2,2,587.61,581.69,522.38,Ethiopia,ET
U03787,ET-2021-S1,2021-07-14,27,Male,refugee,Bahir Dar,Somali,TVET,Professional Services,Consulting,Yes,3,,,,,,,,,,,0,600.32,,0,1,0,0,1,Baseline Survey,True,,Community group,False,High input costs,True,True,Continue training,MEDIUM,LOW,LOW,0.403075,0.338265,0.298683,0,0,0,1,2,2,590.25,595.51,552.33,Ethiopia,ET
U04043,RW-2020-S3,2020-02-16,39,Female,refugee,Kicukiro,Burundian,Primary,Professional Services,Tailoring,No,4,Musanze,Yes,No,Yes,33.0,No,Yes,Supplier diversification,No,,2,284.03,198.33,0,0,1,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.695055,0.637492,0.607587,0,0,0,0,0,0,294.31,260.93,264.61,Rwanda,RW
U02445,ET-2019-S3,2019-11-24,40,Female,host,Bahir Dar,Somali,Secondary,ICT,Mobile Money,No,4,,,,,,,,,,,2,1059.37,,0,0,1,1,0,Baseline Survey,False,Family responsibilities,Family support,True,Limited mobility,False,False,Start business,MEDIUM,MEDIUM,MEDIUM,0.607304,0.606883,0.629471,0,0,0,0,0,0,1092.86,1048.21,1172.85,Ethiopia,ET
U04418,RW-2024-S1,2024-12-19,33,Male,host,Nyabiheke Camp,Congolese,Postgraduate,Professional Services,Tailoring,Yes,4,Nyarugenge,Yes,No,Yes,19.0,Yes,No,,Yes,Hair Salon,0,369.35,129.69,0,1,0,0,1,Baseline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.595272,0.597075,0.590659,0,0,0,0,0,1,383.41,393.71,376.4,Rwanda,RW
U00773,KE-2024-S1,2024-02-19,29,Female,host,Nairobi,South Sudanese,Secondary,Manufacturing,Soap,Yes,4,Nairobi,Yes,Yes,Yes,29.0,Yes,Yes,Pricing,No,,0,121.72,70.32,1,0,0,1,0,Baseline Survey,True,,,,,,,,MEDIUM,LOW,LOW,0.371075,0.324205,0.297392,1,1,1,0,2,2,136.03,140.31,143.91,Kenya,KE
U03286,RW-2025-S1,2025-01-31,24,Male,host,Mahama Camp,Congolese,Secondary,Professional Services,Tailoring,No,1,,,,,,,,,,,0,429.05,,0,1,0,1,0,Endline Survey,True,,Savings,False,Limited mobility,True,True,Start business,MEDIUM,MEDIUM,MEDIUM,0.536683,0.584052,0.602851,0,0,0,0,0,1,406.95,463.91,404.48,Rwanda,RW
U01927,RW-2019-S3,2019-07-26,40,Male,refugee,Kigeme Camp,Rwandan,Primary,Manufacturing,Baked Goods,No,5,Nyarugenge,Yes,Yes,No,18.0,Yes,No,,Yes,Crafts,0,292.51,141.94,0,1,0,0,1,Follow-up Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.564607,0.549889,0.561729,0,0,0,0,0,0,290.06,303.66,350.06,Rwanda,RW
U01293,KE-2023-S2,2023-08-13,24,Female,refugee,Kisumu,Kenyan,TVET,Manufacturing,Crafts,No,3,Kajiado,Yes,No,No,20.0,Yes,Yes,Pricing,No,,2,1131.32,335.57,0,1,0,1,0,Endline Survey,True,,,,,,,,MEDIUM,MEDIUM,MEDIUM,0.603144,0.61395,0.592272,0,0,0,1,1,1,1193.68,1269.38,1153.46,Kenya,KE
